scenario,method,rmse_mean,rmse_sd,bias_mean,coverage_mean,rank_corr_mean,n_reps
Baseline,E-NMA,0.07853947077645054,0.029778505580033334,0.0042053703163988905,0.94,0.902,100
Baseline,S-NMA,0.07621637055587058,0.028888198855410312,0.002331184933380999,0.925,0.92,100
Baseline,Standard_NMA,0.07621637055587058,0.028888198855410312,0.002331184933380999,0.925,0.92,100
High_Heterogeneity,E-NMA,0.08249894424014131,0.03965271009845119,0.0006188092063604431,0.9025,0.9,100
High_Heterogeneity,S-NMA,0.0816441055658087,0.038190956927796324,0.0018579168431555704,0.885,0.91,100
High_Heterogeneity,Standard_NMA,0.0816441055658087,0.038190956927796324,0.0018579168431555704,0.885,0.91,100
Inconsistency_0.3,E-NMA,0.1518115125824674,0.046949355901336226,0.05041262838193501,0.74,0.778,100
Inconsistency_0.3,S-NMA,0.15049288157441093,0.0464048375873377,0.04967601132246098,0.7225,0.78,100
Inconsistency_0.3,Standard_NMA,0.15049288157441093,0.0464048375873377,0.04967601132246098,0.7225,0.78,100
Sparse,E-NMA,0.1979683545512333,0.08896759012250861,-0.0446407764785548,0.97,0.604,100
Sparse,S-NMA,0.19001076838096304,0.08418707048691193,-0.04434946495395531,0.9475,0.612,100
Sparse,Standard_NMA,0.19001076838096304,0.08418707048691193,-0.04434946495395531,0.9475,0.612,100
Star,E-NMA,0.09737201603871654,0.04031617541618508,-0.00015419637452659867,0.9525,0.778,100
Star,S-NMA,0.09737201603871654,0.04031617541618508,-0.00015419637452659867,0.9525,0.778,100
Star,Standard_NMA,0.09737201603871654,0.04031617541618508,-0.00015419637452659867,0.9525,0.778,100
